Date,Open,High,Low,Close,,,
23-05-2018,1900,1900,1850.65,1856.7,20257,49.35,43.3
22-05-2018,1925,1950,1898.5,1910.25,11808,51.5,14.75
21-05-2018,1930,1947,1912.25,1921.3,17820,34.75,8.7
18-05-2018,1914,1942.75,1906.35,1926.2,19170,36.4,-12.2
17-05-2018,1929,1937.65,1905.1,1913.25,24623,32.55,15.75
16-05-2018,1915,1939.2,1901.45,1926.9,19742,37.75,-11.9
15-05-2018,1910,1950,1905.25,1917.5,42999,44.75,-7.5
14-05-2018,1889.35,1918,1888.8,1914.45,15474,29.2,-25.1
11-05-2018,1885.9,1899.4,1874,1894.15,14151,25.4,-8.25
10-05-2018,1877.45,1908.7,1857.05,1886.05,44648,51.65,-8.6
09-05-2018,1860,1890,1860,1871.85,39924,30,-11.85
08-05-2018,1888,1890.2,1843.75,1867.6,70278,46.45,20.4
07-05-2018,1886,1898.3,1881,1884.85,20615,17.3,1.15
04-05-2018,1878,1897.7,1873.3,1886.65,16773,24.4,-8.65
03-05-2018,1867,1880,1852.65,1877.75,22927,27.35,-10.75
02-05-2018,1899,1899,1861,1866.85,83592,38,32.15
30-04-2018,1886,1904.9,1880.8,1898.2,26017,24.1,-12.2
27-04-2018,1880,1896,1864.75,1885.8,33426,31.25,-5.8
26-04-2018,1849,1893,1845.2,1879.45,26602,47.8,-30.45
25-04-2018,1870,1876,1842,1849.55,34421,34,20.45
24-04-2018,1878,1898,1857,1876.65,29655,41,1.35
23-04-2018,1825,1885.75,1811,1875.6,70955,74.75,-50.6
20-04-2018,1842.2,1845.05,1800.1,1814,82919,44.95,28.2
19-04-2018,1853,1868.65,1804,1834.1,115195,64.65,18.9
18-04-2018,1865,1871.9,1838,1844.65,13231,33.9,20.35
17-04-2018,1863.45,1876.5,1857.5,1867.6,17247,19,-4.15
16-04-2018,1854,1872.85,1854,1866.25,15383,18.85,-12.25
13-04-2018,1851,1871,1845,1858.95,13556,26,-7.95
12-04-2018,1857,1862,1847,1856,22227,15,1
11-04-2018,1850.05,1861.4,1839.95,1857.55,17550,21.45,-7.5
10-04-2018,1858.75,1869.6,1838.25,1847.1,26094,31.35,11.65
09-04-2018,1825,1867.85,1825,1862.25,120115,42.85,-37.25
06-04-2018,1832,1837,1814.5,1823.8,25415,22.5,8.2
05-04-2018,1827.05,1839.3,1812.1,1831.15,27819,27.2,-4.1
04-04-2018,1825.6,1840,1785.1,1794.05,46958,54.9,31.55
03-04-2018,1800.1,1840.75,1800.1,1829.9,25625,40.65,-29.8
02-04-2018,1799,1815,1786.55,1805.7,42328,28.45,-6.7
28-03-2018,1774,1806.4,1774,1795.6,40613,32.4,-21.6
27-03-2018,1760.4,1795.95,1760.4,1787.9,52514,35.55,-27.5
26-03-2018,1758,1795,1749.8,1760.4,40842,45.2,-2.4
23-03-2018,1735,1756.55,1725.3,1750.2,47022,31.25,-15.2
22-03-2018,1737,1761.7,1734.6,1753.75,40189,27.1,-16.75
21-03-2018,1727,1743,1718,1731.5,38780,25,-4.5
20-03-2018,1710.55,1737.4,1701.5,1716.45,248388,35.9,-5.9
19-03-2018,1729,1732,1715,1720.9,24890,17,8.1
16-03-2018,1730.1,1753,1719.8,1726.7,68790,33.2,3.4
15-03-2018,1729.4,1749.9,1724.3,1742.35,21793,25.6,-12.95
14-03-2018,1740,1740,1711.05,1733.3,16527,28.95,6.7
13-03-2018,1733,1751.35,1718,1731,20335,33.35,2
12-03-2018,1700.05,1735.65,1700.05,1733.55,19026,35.6,-33.5
09-03-2018,1695,1706.9,1687.7,1698.05,15116,19.2,-3.05
08-03-2018,1707,1716.95,1684.05,1695.85,14895,32.9,11.15
07-03-2018,1717,1717,1687.4,1703.15,18154,29.6,13.85
06-03-2018,1790,1790,1695.05,1707.1,39456,94.95,82.9
05-03-2018,1695,1696.8,1676.95,1686.75,25238,19.85,8.25
01-03-2018,1675,1707.8,1674.9,1697.25,27445,32.9,-22.25
28-02-2018,1680,1686.85,1663.8,1679.85,26426,23.05,0.15
27-02-2018,1710,1710,1679.85,1684.6,29305,30.15,25.4
26-02-2018,1647,1700.2,1646.4,1691.25,41078,53.8,-44.25
23-02-2018,1625.1,1650,1621.6,1642.9,26148,28.4,-17.8
22-02-2018,1590,1629.9,1586.05,1624.45,23797,43.85,-34.45
21-02-2018,1628.1,1634,1591.5,1595.3,34357,42.5,32.8
20-02-2018,1630,1648.4,1620,1628.1,42365,28.4,1.9
19-02-2018,1658,1658,1616.5,1631.7,202826,41.5,26.3
16-02-2018,1675.2,1695,1651.05,1658.9,213564,43.95,16.3
15-02-2018,1693,1702.05,1671.4,1686.25,66023,30.65,6.75
14-02-2018,1695.2,1708.05,1676.65,1691.9,76108,31.4,3.3
12-02-2018,1648,1701.8,1646.45,1686.45,27517,55.35,-38.45
09-02-2018,1660,1660,1638.55,1651.4,24825,21.45,8.6
08-02-2018,1669,1710,1663.55,1669.75,106402,46.45,-0.75
07-02-2018,1687.15,1716.3,1659,1663.1,32862,57.3,24.05
06-02-2018,1670,1697,1641.2,1674.6,47552,55.8,-4.6
05-02-2018,1734.95,1739,1687.3,1714.25,42383,51.7,20.7
02-02-2018,1781,1781,1735.7,1755.6,29076,45.3,25.4
01-02-2018,1754,1814.3,1735,1797,373665,79.3,-43
31-01-2018,1728.2,1759.6,1726,1754.15,38861,33.6,-25.95
30-01-2018,1741,1745,1722.1,1736.7,19582,22.9,4.3
29-01-2018,1729,1751,1723,1740.75,54899,28,-11.75
25-01-2018,1711,1736.8,1701,1729,64260,35.8,-18
24-01-2018,1720,1739,1705.85,1718.2,486107,33.15,1.8
23-01-2018,1686,1730,1681,1722.9,55444,49,-36.9
22-01-2018,1676,1696,1676,1683,37061,20,-7
19-01-2018,1685,1691.7,1672.15,1683.3,27067,19.55,1.7
18-01-2018,1668.5,1707,1668.05,1679.5,67859,38.95,-11
17-01-2018,1660,1680,1646.95,1657,33379,33.05,3
16-01-2018,1685,1690.9,1660.9,1664.65,22389,30,20.35
15-01-2018,1700,1710,1675.05,1681.5,40777,34.95,18.5
12-01-2018,1717,1719.75,1688,1705.5,78457,31.75,11.5
11-01-2018,1740,1750,1687,1698.6,154501,63,41.4
10-01-2018,1725,1738.1,1712.7,1734.75,24860,25.4,-9.75
09-01-2018,1722,1726.05,1706.25,1723.25,19508,19.8,-1.25
08-01-2018,1705,1722,1702,1718.2,120332,20,-13.2
05-01-2018,1658.8,1702,1647.45,1698.5,165515,54.55,-39.7
04-01-2018,1639,1649.4,1632,1646.3,11481,17.4,-7.3
03-01-2018,1648,1649.95,1627,1630.3,918082,22.95,17.7
02-01-2018,1629.9,1647,1628.5,1643.65,18888,18.5,-13.75
01-01-2018,1650,1654,1620.1,1626.25,19571,33.9,23.75
