Date,Open,High,Low,Close,Volume,Adjustment Factor,Adjustment Type
2015-01-01,1083.643516,1083.643516,1070.742998,1073.562,36260.0,,
2015-01-02,1073.131983,1124.638495,1073.131983,1119.764966,91131.0,,
2015-01-05,1125.689649,1126.645243,1099.936392,1105.287718,49817.0,,
2015-01-06,1096.066237,1098.933019,1046.375353,1053.494527,117772.0,,
2015-01-07,1055.596834,1065.63057,1047.760964,1051.201102,110656.0,,
2015-01-08,1061.664855,1075.998764,1061.473737,1073.705339,43755.0,,
2015-01-09,1079.486682,1085.745822,1054.975698,1062.811568,66242.0,,
2015-01-12,1065.487231,1087.465891,1050.436627,1079.534462,45728.0,,
2015-01-13,1079.82114,1085.698043,1063.241585,1071.173015,61655.0,,
2015-01-14,1075.04317,1085.459144,1063.671603,1071.507473,43799.0,,
2015-01-15,1098.64634,1156.268654,1092.291641,1148.241665,215534.0,,
2015-01-16,1137.156776,1153.354093,1137.156776,1140.262456,575886.0,,
2015-01-19,1145.470443,1151.490685,1126.501903,1128.986448,121836.0,,
2015-01-20,1135.914504,1201.898264,1130.849856,1194.970208,266858.0,,
2015-01-21,1196.403599,1238.449732,1196.403599,1227.317063,1286653.0,,
2015-01-22,1232.716169,1236.204087,1214.751003,1222.969111,148367.0,,
2015-01-23,1229.944946,1280.782543,1223.829145,1233.146186,277554.0,,
2015-01-26,1233.146186,1233.146186,1233.146186,1233.146186,0.0,,
2015-01-27,1248.149011,1261.718444,1230.852761,1257.227153,313664.0,,
2015-01-28,1258.326086,1300.276659,1243.4666,1284.987157,165815.0,,
2015-01-29,1279.540271,1283.362647,1238.449732,1251.39803,248193.0,,
2015-01-30,1264.250768,1273.997826,1202.137163,1209.447457,231674.0,,
2015-02-02,1208.82632,1227.938199,1188.758848,1213.890968,90069.0,,
2015-02-03,1213.60429,1214.559884,1173.278226,1177.673958,130094.0,,
2015-02-04,1188.758848,1196.642498,1169.59919,1178.342874,72523.0,,
2015-02-05,1178.342874,1234.961814,1155.599739,1193.441258,180536.0,,
2015-02-06,1194.492412,1231.760575,1189.714442,1222.682432,275062.0,,
2015-02-09,1213.60429,1219.242294,1190.861155,1214.416545,78335.0,,
2015-02-10,1204.048351,1236.156307,1177.960637,1189.523323,111368.0,,
2015-02-11,1189.714442,1211.645323,1188.567729,1192.007867,89261.0,,
2015-02-12,1199.270381,1204.048351,1186.083185,1198.601465,60334.0,,
2015-02-13,1203.092757,1218.38226,1189.714442,1212.170899,193431.0,,
2015-02-16,1223.160229,1241.077616,1211.97978,1230.90054,264199.0,,
2015-02-17,1230.90054,1230.90054,1230.90054,1230.90054,0.0,,
2015-02-18,1232.716169,1273.806708,1231.760575,1267.308669,1085484.0,,
2015-02-19,1270.939926,1296.740962,1265.206362,1293.157485,200641.0,,
2015-02-20,1293.396383,1293.396383,1267.11755,1274.188945,135159.0,,
2015-02-23,1273.806708,1277.915762,1248.483469,1251.636929,93539.0,,
2015-02-24,1244.183296,1260.90619,1239.405326,1251.111352,233518.0,,
2015-02-25,1251.828047,1288.140617,1251.828047,1281.451459,187565.0,,
2015-02-26,1277.629083,1311.457108,1276.673489,1285.942751,146659.0,,
2015-02-27,1285.942751,1306.679139,1278.10688,1287.280582,93916.0,,
2015-03-02,1282.502612,1310.358175,1260.428393,1278.728016,146302.0,,
2015-03-03,1290.051804,1309.163683,1283.744885,1303.573459,132125.0,,
2015-03-04,1322.541998,1337.640382,1295.642029,1304.576832,177764.0,,
2015-03-05,1309.163683,1335.729194,1303.812357,1327.367747,136748.0,,
2015-03-06,1327.367747,1327.367747,1327.367747,1327.367747,0.0,,
2015-03-09,1325.934356,1333.053531,1292.24967,1305.245748,78856.0,,
2015-03-10,1305.245748,1305.245748,1249.439062,1254.50371,141138.0,,
2015-03-11,1258.517205,1278.584677,1251.971386,1263.534073,58488.0,,
2015-03-12,1275.717896,1283.362647,1258.039408,1273.758928,57208.0,,
2015-03-13,1290.051804,1306.870258,1263.104056,1268.74206,181136.0,,
2015-03-16,1269.028738,1270.939926,1236.920782,1247.718993,111782.0,,
2015-03-17,1256.606017,1287.949498,1249.916859,1280.448085,70616.0,,
2015-03-18,1266.161956,1282.93263,1258.708324,1265.110803,50727.0,,
2015-03-19,1272.851114,1294.065299,1259.32946,1269.410976,192731.0,,
2015-03-20,1269.028738,1284.604919,1250.490216,1279.014695,295614.0,,
2015-03-23,1269.028738,1287.232802,1269.028738,1284.557139,214952.0,,
2015-03-24,1280.495865,1324.214287,1279.349152,1299.225506,561232.0,,
2015-03-25,1296.737302,1322.097847,1282.382276,1297.024402,120080.0,0.998529,17.0
2015-03-26,1282.382276,1291.952293,1216.301309,1228.02458,189356.0,,
2015-03-27,1236.446195,1242.666706,1203.286086,1207.496893,107394.0,,
2015-03-30,1216.588409,1253.624375,1216.301309,1250.035619,81585.0,,
2015-03-31,1253.672225,1264.103544,1242.188205,1254.868477,60159.0,,
2015-04-01,1240.274202,1279.989772,1240.274202,1276.448866,57940.0,,
2015-04-02,1276.448866,1276.448866,1276.448866,1276.448866,0.0,,
2015-04-03,1276.448866,1276.448866,1276.448866,1276.448866,0.0,,
2015-04-06,1287.167285,1287.167285,1247.451714,1270.084804,64666.0,,
2015-04-07,1277.597268,1281.903775,1256.59108,1271.568157,47182.0,,
2015-04-08,1270.898256,1277.597268,1241.374753,1243.288757,86332.0,,
2015-04-09,1263.146542,1263.146542,1232.618188,1248.743667,54600.0,,
2015-04-10,1244.102208,1253.098024,1228.35953,1234.819292,52540.0,,
2015-04-13,1244.102208,1255.203428,1237.738147,1247.834515,63152.0,,
2015-04-14,1247.834515,1247.834515,1247.834515,1247.834515,0.0,,
2015-04-15,1254.533527,1255.681929,1225.153575,1235.871994,50231.0,,
2015-04-16,1233.76659,1251.758222,1227.354679,1247.834515,59764.0,,
2015-04-17,1250.80122,1258.361534,1236.446195,1246.494713,50147.0,,
2015-04-20,1244.102208,1248.887217,1201.132832,1212.951803,1911963.0,,
2015-04-21,1215.392157,1221.899769,1191.180014,1204.912989,122692.0,,
2015-04-22,1208.501745,1231.517636,1204.338788,1224.244423,193393.0,,
2015-04-23,1222.091169,1240.369902,1213.047503,1221.134168,148361.0,,
2015-04-24,1221.182018,1221.182018,1181.897098,1191.227864,434696.0,,
2015-04-27,1193.859619,1199.170979,1145.483183,1159.742509,341775.0,,
2015-04-28,1167.542072,1183.715401,1138.25782,1174.958836,201069.0,,
2015-04-29,1175.102386,1184.672403,1140.746025,1150.124642,229809.0,,
2015-04-30,1166.15442,1166.15442,1111.844574,1119.117786,198426.0,,
2015-05-01,1119.117786,1119.117786,1119.117786,1119.117786,0.0,,
2015-05-04,1127.348001,1153.665548,1123.232894,1150.603142,863660.0,,
2015-05-05,1137.87502,1148.976239,1126.390999,1128.974904,525521.0,,
2015-05-06,1138.832021,1138.832021,1101.843906,1112.992976,373588.0,,
2015-05-07,1112.992976,1122.562993,1099.594952,1104.954161,246559.0,,
2015-05-08,1116.820982,1148.402038,1111.174672,1134.381964,166976.0,,
2015-05-11,1136.965868,1177.112089,1136.965868,1170.269527,101949.0,,
2015-05-12,1163.714066,1167.542072,1134.860464,1139.980424,57087.0,,
2015-05-13,1148.402038,1174.241084,1137.87502,1167.063572,153538.0,,
2015-05-14,1167.063572,1170.460928,1140.889575,1156.345153,122452.0,,
2015-05-15,1162.757064,1183.571851,1154.9575,1180.892246,73030.0,,
2015-05-18,1178.978243,1214.004505,1175.198086,1208.549595,68736.0,,
2015-05-19,1205.82214,1205.82214,1180.222345,1187.734808,158000.0,,
2015-05-20,1191.945616,1216.253459,1190.510113,1212.808253,60302.0,,
2015-05-21,1215.392157,1218.933064,1192.471967,1201.946284,53778.0,,
2015-05-22,1201.037132,1237.211796,1201.037132,1232.139687,77376.0,,
2015-05-25,1222.56967,1232.139687,1196.252123,1198.931728,77949.0,,
2015-05-26,1181.992798,1205.82214,1180.940096,1186.634256,53340.0,,
2015-05-27,1191.467115,1192.328416,1177.15994,1185.964355,47811.0,,
2015-05-28,1188.59611,1194.43382,1157.110754,1175.341636,121812.0,,
2015-05-29,1177.112089,1193.859619,1168.690474,1182.375599,477103.0,,
2015-06-01,1183.811101,1199.98443,1183.811101,1193.094018,62917.0,,
2015-06-02,1193.381118,1196.060723,1144.861132,1150.794543,292411.0,,
2015-06-03,1154.191899,1164.671067,1144.143381,1151.751544,71003.0,,
2015-06-04,1165.628069,1174.241084,1141.320226,1165.388819,47097.0,,
2015-06-05,1165.628069,1165.628069,1144.574032,1149.40689,108085.0,,
2015-06-08,1150.316042,1150.316042,1123.711395,1128.927054,271696.0,,
2015-06-09,1132.085159,1145.435333,1126.390999,1138.975572,86925.0,,
2015-06-10,1136.056717,1153.187047,1135.482516,1139.119122,109450.0,,
2015-06-11,1148.306338,1148.402038,1111.270373,1116.151081,245792.0,,
2015-06-12,1108.207967,1143.138529,1106.533214,1138.879872,108178.0,,
2015-06-15,1146.966536,1164.671067,1133.472812,1162.469963,165301.0,,
2015-06-16,1150.890243,1158.307006,1129.405555,1146.727285,68025.0,,
2015-06-17,1148.402038,1165.580219,1143.61703,1148.162788,157176.0,,
2015-06-18,1148.402038,1166.01087,1148.402038,1157.732805,201348.0,,
2015-06-19,1171.370079,1193.237568,1167.446372,1184.241752,57520.0,,
2015-06-22,1181.897098,1217.880362,1181.897098,1213.813105,64168.0,,
2015-06-23,1193.381118,1234.532191,1193.381118,1229.364382,57475.0,,
2015-06-24,1229.364382,1238.312348,1211.27705,1225.632076,453102.0,,
2015-06-25,1213.478154,1256.54323,1213.478154,1252.619523,94818.0,,
2015-06-26,1244.102208,1252.715224,1221.995469,1232.905288,103777.0,,
2015-06-29,1224.962174,1237.068246,1206.683442,1231.948287,126601.0,,
2015-06-30,1229.747183,1246.016212,1224.005173,1240.704852,57311.0,,
2015-07-01,1240.274202,1245.872661,1232.809588,1237.355346,64844.0,,
2015-07-02,1244.102208,1244.102208,1224.962174,1228.35953,38793.0,,
2015-07-03,1232.618188,1267.022399,1224.962174,1259.462086,84343.0,,
2015-07-06,1251.758222,1264.199244,1244.006508,1261.280389,1046894.0,,
2015-07-07,1267.83585,1288.794188,1267.83585,1279.846222,188432.0,,
2015-07-08,1272.812259,1274.726263,1230.082133,1234.580041,483317.0,,
2015-07-09,1239.3172,1244.102208,1225.488525,1230.991285,41156.0,,
2015-07-10,1237.785997,1238.360198,1224.292273,1227.737479,51988.0,,
2015-07-13,1226.876178,1269.510603,1226.876178,1266.926699,89186.0,,
2015-07-14,1266.113247,1266.113247,1253.672225,1259.892736,24808.0,,
2015-07-15,1261.328239,1285.301131,1256.16043,1283.147878,73866.0,,
2015-07-16,1284.29628,1311.857929,1284.29628,1302.096511,77827.0,,
